Date,Ticker,Company,Sector,Close_Price,Volume,MA_20,MA_50,Daily_Return_Pct,RSI,Volatility,Signal
2024-12-11,RELIANCE,Reliance Industries,Energy,2400.0,2887312,N/A,N/A,N/A,N/A,N/A,NEUTRAL
2024-12-12,RELIANCE,Reliance Industries,Energy,2419.08,4193976,N/A,N/A,0.79,N/A,N/A,NEUTRAL
2024-12-13,RELIANCE,Reliance Industries,Energy,2415.27,4908224,N/A,N/A,-0.16,N/A,N/A,NEUTRAL
2024-12-16,RELIANCE,Reliance Industries,Energy,2439.94,4535493,N/A,N/A,1.02,N/A,N/A,NEUTRAL
2024-12-17,RELIANCE,Reliance Industries,Energy,2496.9,3888532,N/A,N/A,2.33,N/A,N/A,NEUTRAL
2024-12-18,RELIANCE,Reliance Industries,Energy,2489.38,1925541,N/A,N/A,-0.3,N/A,N/A,NEUTRAL
2024-12-19,RELIANCE,Reliance Industries,Energy,2481.88,2371403,N/A,N/A,-0.3,N/A,N/A,NEUTRAL
2024-12-20,RELIANCE,Reliance Industries,Energy,2541.91,1321052,N/A,N/A,2.42,N/A,N/A,NEUTRAL
2024-12-23,RELIANCE,Reliance Industries,Energy,2572.44,2307150,N/A,N/A,1.2,N/A,N/A,NEUTRAL
2024-12-24,RELIANCE,Reliance Industries,Energy,2555.61,2725300,N/A,N/A,-0.65,N/A,N/A,NEUTRAL
2024-12-25,RELIANCE,Reliance Industries,Energy,2577.69,2355567,N/A,N/A,0.86,N/A,N/A,NEUTRAL
2024-12-26,RELIANCE,Reliance Industries,Energy,2561.06,2034837,N/A,N/A,-0.65,N/A,N/A,NEUTRAL
2024-12-27,RELIANCE,Reliance Industries,Energy,2544.45,4001268,N/A,N/A,-0.65,N/A,N/A,NEUTRAL
2024-12-30,RELIANCE,Reliance Industries,Energy,2554.96,3838442,N/A,N/A,0.41,76.47,N/A,NEUTRAL
2024-12-31,RELIANCE,Reliance Industries,Energy,2482.91,4954051,N/A,N/A,-2.82,61.36,N/A,NEUTRAL
2025-01-01,RELIANCE,Reliance Industries,Energy,2419.91,923570,N/A,N/A,-2.54,50.1,N/A,NEUTRAL
2025-01-02,RELIANCE,Reliance Industries,Energy,2400.71,2873139,N/A,N/A,-0.79,48.28,N/A,NEUTRAL
2025-01-03,RELIANCE,Reliance Industries,Energy,2365.44,1358158,N/A,N/A,-1.47,41.43,N/A,NEUTRAL
2025-01-06,RELIANCE,Reliance Industries,Energy,2377.77,2614792,N/A,N/A,0.52,34.73,N/A,NEUTRAL
2025-01-07,RELIANCE,Reliance Industries,Energy,2346.57,552528,2472.19,N/A,-1.31,32.74,N/A,NEUTRAL
2025-01-08,RELIANCE,Reliance Industries,Energy,2298.03,2373421,2467.1,N/A,-2.07,29.79,1.4394,NEUTRAL
2025-01-09,RELIANCE,Reliance Industries,Energy,2349.7,3098260,2463.63,N/A,2.25,28.47,1.527,NEUTRAL
2025-01-10,RELIANCE,Reliance Industries,Energy,2342.92,1917077,2460.01,N/A,-0.29,22.85,1.5274,NEUTRAL
2025-01-13,RELIANCE,Reliance Industries,Energy,2346.46,3795887,2455.34,N/A,0.15,24.46,1.5048,NEUTRAL
2025-01-14,RELIANCE,Reliance Industries,Energy,2297.49,3818230,2445.36,N/A,-2.09,17.89,1.4392,NEUTRAL
2025-01-15,RELIANCE,Reliance Industries,Energy,2279.88,2752728,2434.89,N/A,-0.77,17.85,1.4412,NEUTRAL
2025-01-16,RELIANCE,Reliance Industries,Energy,2284.81,2985195,2425.04,N/A,0.22,19.5,1.4483,NEUTRAL
2025-01-17,RELIANCE,Reliance Industries,Energy,2246.51,4760507,2410.27,N/A,-1.68,15.98,1.3113,NEUTRAL
2025-01-20,RELIANCE,Reliance Industries,Energy,2260.29,660775,2394.66,N/A,0.61,21.83,1.2746,NEUTRAL
2025-01-21,RELIANCE,Reliance Industries,Energy,2241.06,3167867,2378.93,N/A,-0.85,24.55,1.2755,NEUTRAL
